origin;dev;claim
1;1;5946975
2;1;6346756
3;1;6269090
4;1;5863015
5;1;5778885
6;1;6184793
7;1;5600184
8;1;5288066
9;1;5290793
10;1;5675568
1;2;3721237
2;2;3246406
3;2;2976223
4;2;2683224
5;2;2745229
6;2;2828338
7;2;2893207
8;2;2440103
9;2;2357936
1;3;895717
2;3;723222
3;3;847053
4;3;722532
5;3;653894
6;3;572765
7;3;563114
8;3;528043
1;4;207706
2;4;151797
3;4;262768
4;4;190653
5;4;273395
6;4;244899
7;4;225527
1;5;206704
2;5;67824
3;5;152703
4;5;132976
5;5;230288
6;5;104957
1;6;62124
2;6;36603
3;6;65444
4;6;88340
5;6;105224
1;7;65813
2;7;52752
3;7;53545
4;7;43329
1;8;14850
2;8;11186
3;8;8924
1;9;11130
2;9;11646
1;10;15813
